252371,J. Bellingham,Jude Victor William Bellingham,186,75,22,14
239053,F. Valverde,Federico Santiago Valverde Dipetta,182,74,26,60
212622,J. Kimmich,Joshua Walter Kimmich,177,75,30,21
235212,A. Hakimi,Achraf Hakimi Mouhأشرف حكيمي,181,73,26,129
224232,N. Barella,Nicolò Barella,175,68,28,27
208128,H. Çalhanoğlu,Hakan Çalhanoğlu,178,69,31,48
226268,F. Dimarco,Federico Dimarco,175,76,27,27
239837,A. Mac Allister,Alexis Mac Allister,176,72,26,52
231866,Rodri,Rodrigo Hernández Cascante,190,82,29,45
194765,A. Griezmann,Antoine Griezmann,176,67,34,18
232656,T. Hernández,Theo Bernard François Hernández,184,81,27,18
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,179,69,30,38
246191,J. Alvarez,Julián Álvarez,170,71,25,52
231281,T. Alexander-Arnold,Trent John Alexander-Arnold,180,69,26,14
244675,Sancet,Oihan Sancet Tirapu,188,77,25,45
210008,A. Rabiot,Adrien Rabiot-Provost,191,80,30,18
212616,R. De Paul,Rodrigo Javier de Paul,180,70,31,52
241096,S. Tonali,Sandro Tonali,181,79,25,27
226161,Marcos Llorente,Marcos Llorente Moreno,184,74,30,45
209658,L. Goretzka,Leon Christoph Goretzka,189,82,30,21
255253,Vitinha,Vítor Machado Ferreira,172,64,25,38
209331,M. Salah,Mohamed Salah Hamed Ghalyمحمد صلاح,175,72,33,111
204923,M. Sabitzer,Marcel Sabitzer,178,76,31,4
234378,D. Rice,Declan Rice,185,80,26,14
210514,João Cancelo,João Pedro Cavaco Cancelo,182,74,31,38
228702,F. de Jong,Frenkie de Jong,181,74,28,34
240638,T. Reijnders,Tijjani Martinus Jan Reijnders Lekatompessy,185,73,26,34
236772,D. Szoboszlai,Dominik Szoboszlai,186,74,24,23
233419,Raphinha,Raphael Dias Belloli,176,68,28,54
246669,B. Saka,Bukayo Saka,178,65,23,14
223848,S. Milinković-Savić,Sergej Milinković-SavićСергеј Милинковић-Савић,192,95,30,51
251854,Pedri,Pedro González López,174,60,22,45
247851,Bruno Guimarães,Bruno Guimarães Rodrigues Moura,182,74,27,54
231443,O. Dembélé,Masour Ousmane Dembélé,178,67,28,18
272834,João Neves,João Pedro Gonçalves Neves,174,66,20,38
246104,R. Gravenberch,Ryan Jiro Gravenberch,190,77,23,34
231478,L. Martínez,Lautaro Javier Martínez,174,72,27,52
192883,H. Mkhitaryan,Henrikh Mkhitaryan,177,75,36,3
192985,K. De Bruyne,Kevin De Bruyne,181,75,34,7
240679,T. Koopmeiners,Teun Koopmeiners,183,77,27,34
247635,K. Kvaratskhelia,Khvicha Kvaratskheliaხვიჩა კვარაცხელია,183,70,24,20
210035,Grimaldo,Alejandro Grimaldo García,171,68,29,45
238074,R. James,Reece James,180,91,25,14
208574,F. Kostić,Filip KostićФилип Костић,184,84,32,51
238216,C. Gallagher,Conor Gallagher,182,77,25,14
225193,Mikel Merino,Mikel Merino Zazón,189,83,29,45
247090,E. Fernández,Enzo Jeremías Fernández,178,76,24,52
209297,Fred,Frederico Rodrigues de Paula Santos,169,62,32,54
197445,D. Alaba,David Olatukunbo Alaba,180,78,33,4
226754,I. Bennacer,Ismaël Bennacerاسماعيل بن ناصر,175,70,27,97
263205,B. Yılmaz,Barış Alper Yılmaz,186,80,25,48
243576,Pedro Porro,Pedro Antonio Porro Sauceda,173,69,25,45
231747,K. Mbappé,Kylian Mbappé Lottin,182,75,26,18
222665,M. Ødegaard,Martin Ødegaard,178,68,26,36
210411,Otávio,Otávio Edmilson da Silva Monteiro,171,67,30,38
243245,O. Kökçü,Orkun Kökçü,175,72,24,48
224334,M. Acuña,Marcos Javier Acuña,172,69,33,52
237238,S. McTominay,Scott Francis McTominay,193,88,28,42
202126,H. Kane,Harry Edward Kane,188,86,31,14
248243,E. Camavinga,Eduardo Celmi Camavinga,185,77,22,18
224293,Rúben Neves,Rúben Diogo da Silva Neves,180,83,28,38
246863,F. Nmecha,Felix Kalu Nmecha,194,80,24,21
258648,Carlos Augusto,Carlos Augusto Zopalato Neves,184,75,26,54
210881,J. McGinn,John McGinn,178,68,30,42
225201,Berenguer,Alejandro Berenguer Remiro,175,73,29,45
208333,E. Can,Emre Can,186,86,31,21
228251,L. Pellegrini,Lorenzo Pellegrini,186,77,29,27
240950,Pedro Gonçalves,Pedro António Pereira Gonçalves,173,78,27,38
223334,Joelinton,Joelinton Cassio Apolinário de Lira,186,81,28,54
252145,Nuno Mendes,Nuno Alexandre Tavares Mendes,180,70,23,38
188545,R. Lewandowski,Robert Lewandowski,185,81,36,37
247246,K. Thuram,Khéphren Thuram-Ulien,192,80,24,18
181458,I. Perišić,Ivan Perišić,186,80,36,10
243014,B. Mbeumo,Bryan Tetsadong Marceau Mbeumo,171,75,25,103
216393,Y. Tielemans,Youri Tielemans,176,72,28,7
195479,J. Tavernier,James Henry Tavernier,182,75,33,14
256790,J. Musiala,Jamal Musiala,184,72,22,21
239231,Marc Cucurella,Marc Cucurella Saseta,174,66,26,45
223959,L. Torreira,Lucas Sebastián Torreira di Pascua,166,60,29,60
212811,M. Lemina,Mario René Junior Lemina,184,85,31,115
177003,L. Modrić,Luka Modrić,172,67,39,10
230938,F. Kessié,Franck Yannick Kessié,183,74,28,108
226226,G. Lo Celso,Giovani Lo Celso,177,68,29,52
231913,F. Aursnes,Fredrik Aursnes,179,71,29,36
247394,D. Kulusevski,Dejan KulusevskiДејан Кулушевски,186,80,25,46
218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,173,65,30,38
256630,F. Wirtz,Florian Richard Wirtz,177,71,22,21
238744,W. McKennie,Weston James Earl McKennie,180,86,26,95
213666,R. Loftus-Cheek,Ruben Ira Loftus-Cheek,191,88,29,14
202648,Sergi Darder,Sergi Darder Moll,180,71,31,45
219683,C. Tolisso,Corentin Tolisso,181,81,30,18
216352,M. Brozović,Marcelo Brozović,181,72,32,10
251479,M. De Cuyper,Maxim De Cuyper,183,72,24,7
251806,Q. Timber,Quinten Ryan Crispito Timber,179,71,24,34
211093,C. McGregor,Callum William McGregor,178,74,32,42
236499,Douglas Luiz,Douglas Luiz Soares de Paulo,175,66,27,54
215590,Ayoze,Ayoze Pérez Gutiérrez,178,66,31,45
234396,A. Davies,Alphonso Boyle Davies,185,77,24,70
239807,D. Frattesi,Davide Frattesi,178,74,25,27
