id,player_id,version,overall,price,image_url,sm,wf,preferred_foot,accele_type,body_type,club_id,league_id,card_type
1,227203,fc27,91,0,,5,5,Left,Controlled,Average,1,1,NORMAL
2,231747,fc27,91,0,,5,4,Right,Controlled,Average,2,2,NORMAL
3,239085,fc27,91,0,,3,3,Left,Controlled,Average,3,3,NORMAL
4,192119,fc27,90,0,,1,3,Left,Controlled,Average,2,2,NORMAL
5,202126,fc27,90,0,,3,4,Right,Controlled,Average,4,4,NORMAL
6,231443,fc27,90,0,,5,5,Left,Controlled,Average,5,5,NORMAL
7,231866,fc27,90,0,,3,4,Right,Controlled,Average,6,2,NORMAL
8,241667,fc27,90,0,,4,5,Right,Controlled,Average,7,6,NORMAL
9,246219,fc27,90,0,,3,4,Right,Controlled,Average,8,1,NORMAL
10,247827,fc27,90,0,,5,3,Left,Controlled,Average,4,4,NORMAL
11,251854,fc27,90,0,,4,4,Right,Controlled,Average,6,2,NORMAL
12,252371,fc27,90,0,,4,4,Right,Controlled,Average,2,2,NORMAL
13,255253,fc27,90,0,,4,3,Right,Controlled,Average,5,5,NORMAL
14,277643,fc27,90,0,,5,3,Left,Controlled,Average,6,2,NORMAL
15,158023,fc27,89,0,,4,4,Left,Controlled,Average,9,7,NORMAL
16,212198,fc27,89,0,,4,4,Right,Controlled,Average,10,3,NORMAL
17,227102,fc27,89,0,,5,5,Right,Controlled,Average,7,6,NORMAL
18,230621,fc27,89,0,,1,3,Right,Controlled,Average,3,3,NORMAL
19,232580,fc27,89,0,,2,2,Left,Controlled,Average,11,3,NORMAL
20,237288,fc27,89,0,,4,4,Right,Controlled,Average,12,1,NORMAL
21,238794,fc27,89,0,,5,4,Right,Controlled,Average,2,2,NORMAL
22,241846,fc27,89,0,,3,3,Right,Controlled,Average,7,6,NORMAL
23,247635,fc27,89,0,,5,5,Right,Controlled,Average,5,5,NORMAL
24,252145,fc27,89,0,,4,4,Left,Controlled,Average,5,5,NORMAL
25,256196,fc27,89,0,,2,3,Left,Controlled,Average,5,5,NORMAL
26,262531,fc27,89,0,,4,5,Right,Controlled,Average,7,6,NORMAL
27,279799,fc27,89,0,,4,4,Left,Controlled,Average,13,8,NORMAL
28,200389,fc27,88,0,,1,3,Right,Controlled,Average,14,2,NORMAL
29,203376,fc27,88,0,,2,3,Right,Controlled,Average,15,3,NORMAL
30,212622,fc27,88,0,,3,4,Right,Controlled,Average,4,4,NORMAL
31,220901,fc27,88,0,,1,3,Right,Controlled,Average,11,3,NORMAL
32,233419,fc27,88,0,,4,4,Left,Controlled,Average,6,2,NORMAL
33,234378,fc27,88,0,,3,3,Right,Controlled,Average,11,3,NORMAL
34,235212,fc27,88,0,,3,4,Right,Controlled,Average,5,5,NORMAL
35,236479,fc27,88,0,,2,3,Left,Controlled,Average,1,1,NORMAL
36,237289,fc27,88,0,,4,4,Right,Controlled,Average,7,6,NORMAL
37,241084,fc27,88,0,,4,3,Right,Controlled,Average,4,4,NORMAL
38,243715,fc27,88,0,,2,3,Right,Controlled,Average,11,3,NORMAL
39,245830,fc27,88,0,,4,4,Right,Controlled,Average,8,1,NORMAL
40,248822,fc27,88,0,,4,5,Right,Controlled,Average,16,9,NORMAL
41,258980,fc27,88,0,,4,3,Right,Controlled,Average,12,1,NORMAL
42,264012,fc27,88,0,,4,5,Right,Controlled,Average,17,8,NORMAL
43,265898,fc27,88,0,,4,5,Right,Controlled,Average,18,10,NORMAL
44,272834,fc27,88,0,,3,4,Right,Controlled,Average,5,5,NORMAL
45,276359,fc27,88,0,,4,4,Right,Controlled,Average,19,8,NORMAL
46,207865,fc27,87,0,,3,3,Right,Controlled,Average,5,5,NORMAL
47,209331,fc27,87,0,,4,3,Left,Controlled,Average,20,11,NORMAL
48,212831,fc27,87,0,,1,3,Right,Controlled,Average,15,3,NORMAL
49,213331,fc27,87,0,,2,3,Right,Controlled,Average,4,4,NORMAL
50,215698,fc27,87,0,,1,4,Right,Controlled,Average,21,12,NORMAL
51,224232,fc27,87,0,,3,4,Right,Controlled,Average,22,12,NORMAL
52,226893,fc27,87,0,,5,5,Right,Controlled,Average,13,8,NORMAL
53,227190,fc27,87,0,,2,3,Right,Controlled,Average,7,6,NORMAL
54,227361,fc27,87,0,,4,4,Right,Controlled,Average,1,1,NORMAL
55,229558,fc27,87,0,,3,3,Right,Controlled,Average,4,4,NORMAL
56,231478,fc27,87,0,,4,4,Right,Controlled,Average,22,12,NORMAL
57,232075,fc27,87,0,,4,4,Left,Controlled,Average,23,8,NORMAL
58,233662,fc27,87,0,,5,4,Left,Controlled,Average,24,10,NORMAL
59,233746,fc27,87,0,,4,4,Right,Controlled,Average,8,1,NORMAL
60,235073,fc27,87,0,,1,3,Right,Controlled,Average,25,4,NORMAL
61,239053,fc27,87,0,,3,4,Right,Controlled,Average,2,2,NORMAL
62,239818,fc27,87,0,,2,4,Right,Controlled,Average,3,3,NORMAL
63,246669,fc27,87,0,,3,4,Left,Controlled,Average,11,3,NORMAL
64,247819,fc27,87,0,,2,2,Left,Controlled,Average,25,4,NORMAL
65,253436,fc27,87,0,,3,4,Right,Controlled,Average,12,1,NORMAL
66,256790,fc27,87,0,,5,4,Right,Controlled,Average,4,4,NORMAL
67,257008,fc27,87,0,,4,3,Left,Controlled,Average,8,1,NORMAL
68,258310,fc27,87,0,,1,4,Right,Controlled,Average,23,8,NORMAL
69,259287,fc27,87,0,,4,4,Right,Controlled,Average,16,9,NORMAL
70,263009,fc27,87,0,,1,3,Right,Controlled,Average,26,1,NORMAL
71,266928,fc27,87,0,,4,4,Right,Controlled,Average,27,8,NORMAL
72,269404,fc27,87,0,,4,4,Left,Controlled,Average,18,10,NORMAL
73,278219,fc27,87,0,,4,3,Left,Controlled,Average,18,10,NORMAL
74,222665,fc27,86,0,,5,2,Left,Controlled,Average,11,3,NORMAL
75,226268,fc27,86,0,,3,2,Left,Controlled,Average,22,12,NORMAL
76,226271,fc27,86,0,,3,3,Left,Controlled,Average,5,5,NORMAL
