id,name,logo_url,league_id,short_name
1,London City,,1,
2,Real Madrid,,2,
3,Manchester City,,3,
4,FC Bayern München,,4,
5,Paris SG,,5,
6,FC Barcelona,,2,
7,FC Barcelona,,6,
8,Manchester City,,1,
9,Inter Miami CF,,7,
10,Man Utd,,3,
11,Arsenal,,3,
12,Arsenal,,1,
13,KC Current,,8,
14,Atlético de Madrid,,2,
15,Liverpool,,3,
16,FC Bayern München,,9,
17,Portland Thorns,,8,
18,OL Lyonnes,,10,
19,Orlando Pride,,8,
20,Trabzonspor,,11,
21,Milano FC,,12,
22,Lombardia FC,,12,
23,Gotham FC,,8,
24,Paris SG,,10,
25,Borussia Dortmund,,4,
26,Chelsea,,1,
27,Washington Spirit,,8,
28,Denver Summit FC,,8,
29,FC Porto,,13,
30,SSC Napoli,,12,
31,Juventus,,12,
32,Chelsea,,3,
33,Bergamo Calcio,,12,
34,Sunderland,,3,
35,Aston Villa,,3,
36,Everton,,3,
37,AS Roma,,12,
38,Al Hilal,,14,
39,Roma,,15,
40,VfL Wolfsburg,,9,
41,San Diego Wave,,8,
42,Athletic Club,,2,
43,Chicago Stars FC,,8,
44,Galatasaray,,11,
45,FC Twente,,16,
46,Spurs,,3,
47,VfB Stuttgart,,4,
48,Manchester Utd,,1,
49,Paris FC,,10,
50,Brighton,,1,
51,Real Madrid,,6,
52,Al Nassr,,14,
53,Club Brugge,,17,
54,Chicago Fire FC,,7,
55,TSG Hoffenheim,,4,
56,Orlando City,,7,
57,Lecce,,12,
58,Leverkusen,,4,
59,Real Sociedad,,2,
60,Al Qadsiah,,14,
61,Frankfurt,,9,
62,NC Courage,,8,
63,Rac. Louisville,,8,
64,Atlético de Madrid,,6,
65,Como,,12,
66,Fiorentina,,12,
67,Real Betis,,2,
68,Olympiacos FC,,18,
69,RB Leipzig,,4,
70,SC Freiburg,,4,
71,Al Ahli,,14,
72,Fenerbahçe,,11,
73,West Ham,,19,
74,Bay FC,,8,
75,Nott'm Forest,,3,
76,Juventus,,15,
77,West Ham,,1,
78,Leverkusen,,9,
79,Newcastle Utd,,3,
80,Angel City FC,,8,
81,Badalona Women,,6,
82,Rosario Central,,20,
83,Villarreal CF,,2,
84,CA Osasuna,,2,
85,Ajax,,21,
86,Panathinaikos,,18,
87,Al Ittihad,,14,
88,RC Lens,,5,
89,Beşiktaş,,11,
90,Al Shabab,,14,
91,Sassuolo,,12,
92,SC Braga,,13,
93,OL,,5,
94,Latium,,12,
95,Houston Dash,,8,
96,SL Benfica,,13,
97,Crystal Palace,,3,
98,Bologna,,12,
99,Ajax,,16,
100,Sporting CP,,13,
101,Frankfurt,,4,
102,Sevilla FC,,6,
103,Strasbourg,,10,
104,Marseille,,10,
105,Real Sociedad,,6,
106,Liverpool,,1,
107,Brentford,,3,
108,Stade Rennais FC,,5,
109,1. FSV Mainz 05,,4,
110,PSV,,21,
111,Celta,,2,
112,LAFC,,7,
113,Boca Juniors,,20,
114,Rayo Vallecano,,2,
115,Leeds United,,3,
116,VfL Wolfsburg,,22,
117,AS Monaco,,5,
118,Seattle Reign,,8,
119,Boston Legacy FC,,8,
120,Crystal Palace,,1,
121,Brighton,,3,
122,AFC Bournemouth,,3,
123,RC Deportivo,,6,
124,Birmingham City,,1,
125,Whitecaps FC,,7,
126,LOSC Lille,,5,
127,Pumas,,23,
128,OM,,5,
129,Fulham,,3,
130,M'gladbach,,4,
131,Belgrano,,20,
132,Getafe CF,,2,
133,Al Ain FC,,24,
134,River Plate,,20,
135,Torino,,12,
136,Madrid CFF,,6,
137,Aston Villa,,1,
138,Cagliari,,12,
139,Union Berlin,,9,
140,TSG Hoffenheim,,9,
141,Spurs,,1,
142,Athletic Club,,6,
143,C. Adeje Tenerife,,6,
144,DUX Logroño,,6,
145,RC Deportivo,,2,
146,Al Diriyah,,14,
147,Levante UD,,2,
148,N.E.C. Nijmegen,,21,
149,KAA Gent,,17,
150,New England,,7,
151,Sevilla FC,,2,
152,Hamburger SV,,4,
153,Toluca FC,,23,
154,Abha Club,,14,
155,FK Bodø/Glimt,,25,
156,1. FC Köln,,9,
157,RCD Espanyol,,2,
158,Al Fateh,,14,
159,KRC Genk,,17,
160,SV Werder Bremen,,4,
161,R. Union St.-G.,,17,
162,FC Midtjylland,,26,
163,Al Taawoun,,14,
164,FC Cincinnati,,7,
165,Neom,,14,
166,San Diego FC,,7,
167,Rangers,,27,
168,Utah Royals FC,,8,
169,BK Hcken,,28,
170,Everton,,1,
171,Hull City,,3,
172,Slavia Praha,,29,
173,Girona FC,,30,
174,SC Freiburg,,9,
175,SL Benfica,,31,
176,Strasbourg,,5,
177,1. FC Köln,,4,
178,Wolves,,19,
179,Montpellier,,10,
180,FC Schalke 04,,4,
181,Estudiantes,,20,
182,Al Khaleej,,14,
183,LA Galaxy,,7,
184,Paris FC,,5,
185,R. Racing Club,,2,
186,Nacional,,32,
187,Union Berlin,,4,
188,RCD Mallorca,,30,
189,Viking FK,,25,
190,Monterrey,,23,
191,Nashville SC,,7,
192,Atlanta United,,7,
193,R. Oviedo,,30,
194,Valencia CF,,2,
195,Al Faisaly,,14,
196,Club América,,23,
197,FC Fleury 91,,10,
198,Celtic,,27,
199,Club Atlético Gimnasia y Esgrima,,20,
200,D. Alavés,,2,
201,Lanús,,20,
202,Columbus Crew,,7,
203,Club Tigres,,23,
204,Ipswich,,3,
205,Club Guadalajara,,23,
206,Frosinone,,12,
207,Charlotte FC,,7,
208,Udinese,,12,
209,Dynamo Kyiv,,33,
210,Feyenoord,,21,
211,Peñarol,,32,
212,Toulouse FC,,5,
213,FC Nantes,,10,
214,Dinamo Zagreb,,34,
215,Botafogo,,35,
216,FC Lorient,,5,
217,Bahia,,36,
218,AZ,,21,
219,Al Riyadh,,14,
220,Hajduk Split,,34,
221,AEK Athens,,18,
222,Al Ettifaq,,14,
223,Stade Brestois 29,,5,
224,PAOK FC,,18,
225,FC Andorra,,30,
226,Ferencvárosi TC,,37,
227,FC Twente,,21,
228,Talleres,,20,
229,Sounders FC,,7,
230,Burnley,,19,
231,Shakhtar Donetsk,,33,
232,Minnesota United,,7,
233,Southampton,,19,
234,FC Augsburg,,4,
235,OGC Nice,,5,
236,Al Fayha,,14,
237,Viktoria Plzeň,,29,
238,FC Dallas,,7,
239,CF Cruz Azul,,23,
240,Racing Club,,20,
241,New York City FC,,7,
242,UD Almería,,30,
243,Slavia Praha,,38,
244,RB Leipzig,,9,
245,Toulouse FC,,10,
246,Argentinos Jrs.,,20,
247,Deportivo Alavés,,6,
248,Venezia,,12,
249,Granada CF,,6,
250,Málaga CF,,2,
251,Hearts,,27,
252,Defensa,,20,
253,Vélez Sarsfield,,20,
254,FC Basel 1893,,39,
255,RSC Anderlecht,,17,
256,Le Mans FC,,5,
257,Elche CF,,2,
258,Red Bulls,,7,
259,RB Salzburg,,40,
260,Atlas FC,,23,
261,Coventry City,,3,
262,SJ Earthquakes,,7,
263,Heidenheim,,22,
264,Atl. Nacional,,41,
265,Palermo,,42,
266,Sp. Charleroi,,17,
267,Independiente,,20,
268,Portland Timbers,,7,
269,Charlton Athletic,,1,
270,Club Pachuca,,23,
271,Genoa,,12,
272,Hannover 96,,22,
273,Angers SCO,,5,
274,KVC Westerlo,,17,
275,Monza,,12,
276,Başakşehir,,11,
277,FC Famalicão,,13,
278,Stade de Reims,,43,
279,Birmingham City,,19,
280,SK Brann,,44,
281,Parma,,12,
282,AGF,,26,
283,Middlesbrough,,19,
284,VfB Stuttgart,,9,
285,SV Werder Bremen,,9,
286,RCD Espanyol,,6,
287,AJ Auxerre,,5,
288,Ind. Rivadavia,,20,
289,SD Eibar,,6,
290,Swansea City,,19,
291,Instituto,,20,
292,Padova,,42,
293,CF Montréal,,7,
294,St. Louis CITY SC,,7,
295,APOEL FC,,45,
296,Junior,,32,
