id,name
1,Barclays WSL
2,LALIGA EA SPORTS
3,Premier League
4,Bundesliga
5,Ligue 1 McDonald's
6,Liga F Moeve
7,MLS
8,NWSL
9,GPFBL
10,Arkema PL
11,Trendyol Süper Lig
12,Serie A Enilive
13,Liga Portugal
14,ROSHN Saudi League
15,Calcio A Femminile
16,Nederland Vrouwen Liga
17,1A Pro League
18,Hellas Liga
19,EFL Championship
20,LPF
21,Eredivisie
22,Bundesliga 2
23,Liga BBVA MX
24,United Emirates League
25,Eliteserien
26,Metropolitan Division
27,Scottish Premiership
28,Sverige Liga
29,Česká Liga
30,LALIGA HYPERMOTION
31,Liga Portugal Feminino
32,CONMEBOL Libertadores
33,Ukrayina Liha
34,Liga Hrvatska
35,CONMEBOL Sudamericana
36,Liga do Brasil
37,Magyar Liga
38,Ceska Liga Žen
39,Brack Super League
40,Ö. Bundesliga
41,Liga Colombia
42,Serie BKT
43,Ligue 2 BKT
44,Norge Kvinner Liga
45,Liga Cyprus
46,Ekstraklasa
47,CSL
48,K League 1
49,Scottish Women's League
50,Liga Bulgaria
51,Liga Azerbaijan
52,EFL League One
53,Schweizer Damen Liga
54,Allsvenskan
55,SUPERLIGA
56,Thailand League
57,Isuzu UTE A League
58,ISL
59,Iceland League
60,SSE Airtricity Men's Premier Division
61,3. Liga
62,Finnliiga
63,EFL League Two
