id,name,flag_url
1,Spain,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/1.webp
2,France,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/2.webp
3,Norway,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/3.webp
4,Belgium,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/4.webp
5,England,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/5.webp
6,Jamaica,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/6.webp
7,Portugal,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/7.webp
8,Argentina,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/8.webp
9,Italy,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/9.webp
10,Brazil,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/10.webp
11,Poland,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/11.webp
12,Georgia,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/12.webp
13,Ecuador,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/13.webp
14,Malawi,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/14.webp
15,Slovenia,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/15.webp
16,Holland,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/16.webp
17,Germany,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/17.webp
18,Morocco,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/18.webp
19,Colombia,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/19.webp
20,Japan,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/20.webp
21,United States,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/21.webp
22,Haiti,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/22.webp
23,Zambia,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/23.webp
24,Egypt,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/24.webp
25,Switzerland,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/25.webp
26,Uruguay,https://iqfbyjvnzthixbxeuewk.supabase.co/storage/v1/object/public/fc-assets/nations/26.webp
