id,name,gender,height,weight,age,nation_id,long_name
227203,Alexia Putellas,Women's Football,180,75,32,1,Alexia Putellas Segura
231747,Kylian Mbappé,Men's Football,180,75,27,2,Kylian Mbappé
239085,Erling Haaland,Men's Football,180,75,26,3,Erling Haaland
192119,Thibaut Courtois,Men's Football,180,75,34,4,Thibaut Courtois
202126,Harry Kane,Men's Football,180,75,33,5,Harry Kane
231443,Ousmane Dembélé,Men's Football,180,75,29,2,Ousmane Dembélé
231866,Rodri,Men's Football,180,75,30,1,Rodrigo Hernández Cascante
241667,Aitana Bonmatí,Women's Football,180,75,28,1,Aitana Bonmatí Conca
246219,Khadija Shaw,Women's Football,180,75,29,6,Khadija Shaw
247827,Michael Olise,Men's Football,180,75,24,2,Michael Olise
251854,Pedri,Men's Football,180,75,23,1,Pedro González López
252371,Jude Bellingham,Men's Football,180,75,23,5,Jude Bellingham
255253,Vitinha,Men's Football,180,75,26,7,Vítor Machado Ferreira
277643,Lamine Yamal,Men's Football,180,75,19,1,Lamine Yamal Nasraoui Ebana
158023,Lionel Messi,Men's Football,180,75,39,8,Lionel Messi
212198,Bruno Fernandes,Men's Football,180,75,32,7,Bruno Miguel Borges Fernandes
227102,Caroline Graham Hansen,Women's Football,180,75,31,3,Caroline Graham Hansen
230621,Gianluigi Donnarumma,Men's Football,180,75,27,9,Gianluigi Donnarumma
232580,Gabriel,Men's Football,180,75,28,10,Gabriel dos S. Magalhães
237288,Mariona,Women's Football,180,75,30,1,María Francesca Caldentey Oliver
238794,Vini Jr.,Men's Football,180,75,26,10,Vinícius José de Oliveira Júnior
241846,Ewa Pajor,Women's Football,180,75,29,11,Ewa Pajor
247635,Khvicha Kvaratskhelia,Men's Football,180,75,25,12,Khvicha Kvaratskhelia
252145,Nuno Mendes,Men's Football,180,75,24,7,Nuno Alexandre Tavares Mendes
256196,Willian Pacho,Men's Football,180,75,24,13,Willian Pacho
262531,Claudia Pina,Women's Football,180,75,25,1,Claudia Pina Medina
279799,Temwa Chawinga,Women's Football,180,75,27,14,Temwa Chawinga
200389,Jan Oblak,Men's Football,180,75,33,15,Jan Oblak
203376,Virgil van Dijk,Men's Football,180,75,35,16,Virgil van Dijk
212622,Joshua Kimmich,Men's Football,180,75,31,17,Joshua Kimmich
220901,David Raya,Men's Football,180,75,31,1,David Raya Martín
233419,Raphinha,Men's Football,180,75,29,10,Raphael Dias Belloli
234378,Declan Rice,Men's Football,180,75,27,5,Declan Rice
235212,Achraf Hakimi,Men's Football,180,75,27,18,Achraf Hakimi
236479,Mapi León,Women's Football,180,75,31,1,María Pilar León Cebrián
237289,Patri Guijarro,Women's Football,180,75,28,1,Patricia Guijarro Gutiérrez
241084,Luis Díaz,Men's Football,180,75,29,19,Luis Díaz
243715,William Saliba,Men's Football,180,75,25,2,William Saliba
245830,Yui Hasegawa,Women's Football,180,75,29,20,Yui Hasegawa
248822,Klara Bühl,Women's Football,180,75,25,17,Klara Bühl
258980,Alessia Russo,Women's Football,180,75,27,5,Alessia Russo
264012,Sophia Wilson,Women's Football,180,75,26,21,Sophia Wilson
265898,Melchie Dumornay,Women's Football,180,75,23,22,Melchie Dumornay
272834,João Neves,Men's Football,180,75,21,7,João Pedro Gonçalves Neves
276359,Barbra Banda,Women's Football,180,75,26,23,Barbra Banda
207865,Marquinhos,Men's Football,180,75,32,10,Marcos Aoás Corrêa
209331,Mohamed Salah,Men's Football,180,75,34,24,Mohamed Salah
212831,Alisson,Men's Football,180,75,33,10,Alisson Ramses Becker
213331,Jonathan Tah,Men's Football,180,75,30,17,Jonathan Tah
215698,Mike Maignan,Men's Football,180,75,31,2,Mike Maignan
224232,Nicolò Barella,Men's Football,180,75,29,9,Nicolò Barella
226893,Debinha,Women's Football,180,75,34,10,Débora C. de Oliveira
227190,Irene Paredes,Women's Football,180,75,35,1,Irene Paredes Hernández
227361,Kadidiatou Diani,Women's Football,180,75,31,2,Kadidiatou Diani
229558,Dayot Upamecano,Men's Football,180,75,27,2,Dayot Upamecano
231478,Lautaro Martínez,Men's Football,180,75,29,8,Lautaro Martínez
232075,Rose Lavelle,Women's Football,180,75,31,21,Rose Lavelle
233662,Sakina Karchaoui,Women's Football,180,75,30,2,Sakina Karchaoui
233746,Vivianne Miedema,Women's Football,180,75,30,16,Vivianne Miedema
235073,Gregor Kobel,Men's Football,180,75,28,25,Gregor Kobel
239053,Federico Valverde,Men's Football,180,75,28,26,Federico Valverde
239818,Rúben Dias,Men's Football,180,75,29,7,Rúben Santos Gato Alves Dias
246669,Bukayo Saka,Men's Football,180,75,25,5,Bukayo Saka
247819,Nico Schlotterbeck,Men's Football,180,75,26,17,Nico Schlotterbeck
253436,Ona Batlle,Women's Football,180,75,27,1,Ona Batlle Pascual
256790,Jamal Musiala,Men's Football,180,75,23,17,Jamal Musiala
257008,Lauren Hemp,Women's Football,180,75,26,5,Lauren Hemp
258310,Ann-Katrin Berger,Women's Football,180,75,35,17,Ann-Katrin Berger
259287,Pernille Harder,Women's Football,180,75,33,27,Pernille Harder
263009,Hannah Hampton,Women's Football,180,75,25,5,Hannah Hampton
266928,Trinity Rodman,Women's Football,180,75,24,21,Trinity Rodman
